NAME,WIDTH,DIMENSION_NAMES,TYPE,DEFAULT_VALUE,,,,,,,,,,,,,,,,,,,,,
ppt_rad_adj,15,nmonths,2,0.02,,,,,,,,,,,,,,,,,,,,,
precip_units,4,one,1,1,,,,,,,,,,,,,,,,,,,,,
pref_flow_den,15,nhru,2,0.2,,,,,,,,,,,,,,,,,,,,,
print_freq,0,one,1,3,,,,,,,,,,,,,,,,,,,,,
print_type,0,one,1,1,,,,,,,,,,,,,,,,,,,,,
rad_trncf,15,nhru,2,RAD_TRNCF,,,,,,,,,,,,,,,,,,,,,
radadj_intcp,0,one,2,1,,,,,,,,,,,,,,,,,,,,,
radadj_slope,0,one,2,0,,,,,,,,,,,,,,,,,,,,,
radj_sppt,0,one,2,0.44,,,,,,,,,,,,,,,,,,,,,
radj_wppt,0,one,2,0.5,,,,,,,,,,,,,,,,,,,,,
radmax,0,one,2,0.8,,,,,,,,,,,,,,,,,,,,,
rain_adj,4,nhru;nmonths,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
runoff_units,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
sat_threshold,15,nhru,2,MOIST_MAX,,,,,,,,,,,,,,,,,,,,,
settle_const,0,one,2,0.1,,,,,,,,,,,,,,,,,,,,,
slowcoef_lin,15,nhru,2,SLOWCOEF_L,,,,,,,,,,,,,,,,,,,,,
slowcoef_sq,15,nhru,2,0.1,,,,,,,,,,,,,,,,,,,,,
smidx_coef,15,nhru,2,0.01,,,,,,,,,,,,,,,,,,,,,
smidx_exp,15,nhru,2,0.3,,,,,,,,,,,,,,,,,,,,,
snarea_curve,0,ndeplval,2,5.00E-02,2.40E-01,4.00E-01,5.30E-01,6.50E-01,7.50E-01,8.20E-01,8.80E-01,9.30E-01,9.90E-01,1.00E+00,5.00E-02,2.50E-01,4.00E-01,4.80E-01,5.40E-01,5.80E-01,6.10E-01,6.40E-01,6.60E-01,6.80E-01,7.00E-01
snarea_thresh,15,nhru,2,SNAREA_THR,,,,,,,,,,,,,,,,,,,,,
snow_adj,4,nhru;nmonths,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
snow_intcp,0,nhru,2,SNOW_INTCP,,,,,,,,,,,,,,,,,,,,,
snowinfil_max,15,nhru,2,2,,,,,,,,,,,,,,,,,,,,,
soil2gw_max,4,nhru,2,0,,,,,,,,,,,,,,,,,,,,,
soil_moist_init,15,nhru,2,MOIST_INIT,,,,,,,,,,,,,,,,,,,,,
soil_moist_max,15,nhru,2,MOIST_MAX,,,,,,,,,,,,,,,,,,,,,
soil_rechr_init,15,nhru,2,RECHR_INIT,,,,,,,,,,,,,,,,,,,,,
soil_rechr_max,15,nhru,2,RECHR_MAX,,,,,,,,,,,,,,,,,,,,,
soil_type,15,nhru,1,SOIL_TYPE,,,,,,,,,,,,,,,,,,,,,
srain_intcp,0,nhru,2,SRAIN_INTC,,,,,,,,,,,,,,,,,,,,,
ssr2gw_exp,0,nssr,2,1,,,,,,,,,,,,,,,,,,,,,
ssr2gw_rate,0,nssr,2,SSR2G_RATE,,,,,,,,,,,,,,,,,,,,,
ssstor_init,0,nssr,2,0,,,,,,,,,,,,,,,,,,,,,
subbasin_down,0,nsub,1,CALCULATED,,,,,,,,,,,,,,,,,,,,,
subbasin_obsid,4,nsub,1,1,,,,,,,,,,,,,,,,,,,,,
temp_units,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
tmax_adj,15,nhru,2,TMAX_ADJ,,,,,,,,,,,,,,,,,,,,,
tmax_allrain,15,nmonths,2,6.00E+01,6.00E+01,6.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,7.00E+01,6.00E+01,6.00E+01,6.00E+01,,,,,,,,,,
tmax_allsnow,15,one,2,38,,,,,,,,,,,,,,,,,,,,,
tmax_index,15,nmonths,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
tmin_adj,15,nhru,2,TMIN_ADJ,,,,,,,,,,,,,,,,,,,,,
transp_beg,15,nhru,1,4,,,,,,,,,,,,,,,,,,,,,
transp_end,15,nhru,1,10,,,,,,,,,,,,,,,,,,,,,
transp_tmax,15,nhru,2,500,,,,,,,,,,,,,,,,,,,,,
tsta_elev,10,ntemp,2,100,1000,,,,,,,,,,,,,,,,,,,,
tstorm_mo,15,nmonths,1,0,,,,,,,,,,,,,,,,,,,,,
wrain_intcp,0,nhru,2,WRAIN_INTC,,,,,,,,,,,,,,,,,,,,,
